geometry
"POLYGON ((4.64663 52.26618, 4.6495812704125425 52.26618, 4.6495812704125425 52.2679818018018, 4.64663 52.2679818018018, 4.64663 52.26618))"
"POLYGON ((5.1158819955942585 52.327441261261335, 5.118833266006801 52.327441261261335, 5.118833266006801 52.32924306306314, 5.1158819955942585 52.32924306306314, 5.1158819955942585 52.327441261261335))"
"POLYGON ((5.118833266006801 52.327441261261335, 5.1217845364193435 52.327441261261335, 5.1217845364193435 52.32924306306314, 5.118833266006801 52.32924306306314, 5.118833266006801 52.327441261261335))"
"POLYGON ((5.1217845364193435 52.327441261261335, 5.124735806831886 52.327441261261335, 5.124735806831886 52.32924306306314, 5.1217845364193435 52.32924306306314, 5.1217845364193435 52.327441261261335))"
"POLYGON ((5.124735806831886 52.327441261261335, 5.1276870772444285 52.327441261261335, 5.1276870772444285 52.32924306306314, 5.124735806831886 52.32924306306314, 5.124735806831886 52.327441261261335))"
"POLYGON ((5.1276870772444285 52.327441261261335, 5.130638347656971 52.327441261261335, 5.130638347656971 52.32924306306314, 5.1276870772444285 52.32924306306314, 5.1276870772444285 52.327441261261335))"
"POLYGON ((5.130638347656971 52.327441261261335, 5.1335896180695135 52.327441261261335, 5.1335896180695135 52.32924306306314, 5.130638347656971 52.32924306306314, 5.130638347656971 52.327441261261335))"
"POLYGON ((5.1335896180695135 52.327441261261335, 5.136540888482056 52.327441261261335, 5.136540888482056 52.32924306306314, 5.1335896180695135 52.32924306306314, 5.1335896180695135 52.327441261261335))"
"POLYGON ((5.136540888482056 52.327441261261335, 5.1394921588945985 52.327441261261335, 5.1394921588945985 52.32924306306314, 5.136540888482056 52.32924306306314, 5.136540888482056 52.327441261261335))"
"POLYGON ((5.1394921588945985 52.327441261261335, 5.142443429307141 52.327441261261335, 5.142443429307141 52.32924306306314, 5.1394921588945985 52.32924306306314, 5.1394921588945985 52.327441261261335))"
"POLYGON ((5.142443429307141 52.327441261261335, 5.1453946997196836 52.327441261261335, 5.1453946997196836 52.32924306306314, 5.142443429307141 52.32924306306314, 5.142443429307141 52.327441261261335))"
"POLYGON ((5.1453946997196836 52.327441261261335, 5.148345970132226 52.327441261261335, 5.148345970132226 52.32924306306314, 5.1453946997196836 52.32924306306314, 5.1453946997196836 52.327441261261335))"
"POLYGON ((5.148345970132226 52.327441261261335, 5.151297240544769 52.327441261261335, 5.151297240544769 52.32924306306314, 5.148345970132226 52.32924306306314, 5.148345970132226 52.327441261261335))"
"POLYGON ((4.64663 52.32924306306314, 4.6495812704125425 52.32924306306314, 4.6495812704125425 52.33104486486494, 4.64663 52.33104486486494, 4.64663 52.32924306306314))"
"POLYGON ((4.6495812704125425 52.32924306306314, 4.652532540825085 52.32924306306314, 4.652532540825085 52.33104486486494, 4.6495812704125425 52.33104486486494, 4.6495812704125425 52.32924306306314))"
"POLYGON ((4.652532540825085 52.32924306306314, 4.655483811237628 52.32924306306314, 4.655483811237628 52.33104486486494, 4.652532540825085 52.33104486486494, 4.652532540825085 52.32924306306314))"
"POLYGON ((4.655483811237628 52.32924306306314, 4.65843508165017 52.32924306306314, 4.65843508165017 52.33104486486494, 4.655483811237628 52.33104486486494, 4.655483811237628 52.32924306306314))"
"POLYGON ((4.65843508165017 52.32924306306314, 4.661386352062713 52.32924306306314, 4.661386352062713 52.33104486486494, 4.65843508165017 52.33104486486494, 4.65843508165017 52.32924306306314))"
"POLYGON ((4.661386352062713 52.32924306306314, 4.664337622475255 52.32924306306314, 4.664337622475255 52.33104486486494, 4.661386352062713 52.33104486486494, 4.661386352062713 52.32924306306314))"
"POLYGON ((4.664337622475255 52.32924306306314, 4.667288892887798 52.32924306306314, 4.667288892887798 52.33104486486494, 4.664337622475255 52.33104486486494, 4.664337622475255 52.32924306306314))"
"POLYGON ((4.667288892887798 52.32924306306314, 4.67024016330034 52.32924306306314, 4.67024016330034 52.33104486486494, 4.667288892887798 52.33104486486494, 4.667288892887798 52.32924306306314))"
"POLYGON ((4.67024016330034 52.32924306306314, 4.673191433712883 52.32924306306314, 4.673191433712883 52.33104486486494, 4.67024016330034 52.33104486486494, 4.67024016330034 52.32924306306314))"
"POLYGON ((4.673191433712883 52.32924306306314, 4.676142704125425 52.32924306306314, 4.676142704125425 52.33104486486494, 4.673191433712883 52.33104486486494, 4.673191433712883 52.32924306306314))"
"POLYGON ((4.676142704125425 52.32924306306314, 4.679093974537968 52.32924306306314, 4.679093974537968 52.33104486486494, 4.676142704125425 52.33104486486494, 4.676142704125425 52.32924306306314))"
"POLYGON ((4.679093974537968 52.32924306306314, 4.68204524495051 52.32924306306314, 4.68204524495051 52.33104486486494, 4.679093974537968 52.33104486486494, 4.679093974537968 52.32924306306314))"
"POLYGON ((4.68204524495051 52.32924306306314, 4.684996515363053 52.32924306306314, 4.684996515363053 52.33104486486494, 4.68204524495051 52.33104486486494, 4.68204524495051 52.32924306306314))"
"POLYGON ((4.684996515363053 52.32924306306314, 4.687947785775595 52.32924306306314, 4.687947785775595 52.33104486486494, 4.684996515363053 52.33104486486494, 4.684996515363053 52.32924306306314))"
"POLYGON ((4.687947785775595 52.32924306306314, 4.690899056188138 52.32924306306314, 4.690899056188138 52.33104486486494, 4.687947785775595 52.33104486486494, 4.687947785775595 52.32924306306314))"
"POLYGON ((4.690899056188138 52.32924306306314, 4.69385032660068 52.32924306306314, 4.69385032660068 52.33104486486494, 4.690899056188138 52.33104486486494, 4.690899056188138 52.32924306306314))"
"POLYGON ((4.69385032660068 52.32924306306314, 4.696801597013223 52.32924306306314, 4.696801597013223 52.33104486486494, 4.69385032660068 52.33104486486494, 4.69385032660068 52.32924306306314))"
"POLYGON ((4.696801597013223 52.32924306306314, 4.699752867425765 52.32924306306314, 4.699752867425765 52.33104486486494, 4.696801597013223 52.33104486486494, 4.696801597013223 52.32924306306314))"
"POLYGON ((4.699752867425765 52.32924306306314, 4.702704137838308 52.32924306306314, 4.702704137838308 52.33104486486494, 4.699752867425765 52.33104486486494, 4.699752867425765 52.32924306306314))"
"POLYGON ((4.702704137838308 52.32924306306314, 4.70565540825085 52.32924306306314, 4.70565540825085 52.33104486486494, 4.702704137838308 52.33104486486494, 4.702704137838308 52.32924306306314))"
"POLYGON ((4.70565540825085 52.32924306306314, 4.708606678663393 52.32924306306314, 4.708606678663393 52.33104486486494, 4.70565540825085 52.33104486486494, 4.70565540825085 52.32924306306314))"
"POLYGON ((4.708606678663393 52.32924306306314, 4.711557949075935 52.32924306306314, 4.711557949075935 52.33104486486494, 4.708606678663393 52.33104486486494, 4.708606678663393 52.32924306306314))"
"POLYGON ((4.711557949075935 52.32924306306314, 4.714509219488478 52.32924306306314, 4.714509219488478 52.33104486486494, 4.711557949075935 52.33104486486494, 4.711557949075935 52.32924306306314))"
"POLYGON ((4.714509219488478 52.32924306306314, 4.71746048990102 52.32924306306314, 4.71746048990102 52.33104486486494, 4.714509219488478 52.33104486486494, 4.714509219488478 52.32924306306314))"
"POLYGON ((4.71746048990102 52.32924306306314, 4.720411760313563 52.32924306306314, 4.720411760313563 52.33104486486494, 4.71746048990102 52.33104486486494, 4.71746048990102 52.32924306306314))"
"POLYGON ((4.720411760313563 52.32924306306314, 4.723363030726105 52.32924306306314, 4.723363030726105 52.33104486486494, 4.720411760313563 52.33104486486494, 4.720411760313563 52.32924306306314))"
"POLYGON ((4.723363030726105 52.32924306306314, 4.726314301138648 52.32924306306314, 4.726314301138648 52.33104486486494, 4.723363030726105 52.33104486486494, 4.723363030726105 52.32924306306314))"
"POLYGON ((4.726314301138648 52.32924306306314, 4.72926557155119 52.32924306306314, 4.72926557155119 52.33104486486494, 4.726314301138648 52.33104486486494, 4.726314301138648 52.32924306306314))"
"POLYGON ((4.72926557155119 52.32924306306314, 4.732216841963733 52.32924306306314, 4.732216841963733 52.33104486486494, 4.72926557155119 52.33104486486494, 4.72926557155119 52.32924306306314))"
"POLYGON ((4.732216841963733 52.32924306306314, 4.735168112376275 52.32924306306314, 4.735168112376275 52.33104486486494, 4.732216841963733 52.33104486486494, 4.732216841963733 52.32924306306314))"
"POLYGON ((4.735168112376275 52.32924306306314, 4.738119382788818 52.32924306306314, 4.738119382788818 52.33104486486494, 4.735168112376275 52.33104486486494, 4.735168112376275 52.32924306306314))"
"POLYGON ((4.738119382788818 52.32924306306314, 4.74107065320136 52.32924306306314, 4.74107065320136 52.33104486486494, 4.738119382788818 52.33104486486494, 4.738119382788818 52.32924306306314))"
"POLYGON ((4.74107065320136 52.32924306306314, 4.744021923613903 52.32924306306314, 4.744021923613903 52.33104486486494, 4.74107065320136 52.33104486486494, 4.74107065320136 52.32924306306314))"
"POLYGON ((4.744021923613903 52.32924306306314, 4.746973194026445 52.32924306306314, 4.746973194026445 52.33104486486494, 4.744021923613903 52.33104486486494, 4.744021923613903 52.32924306306314))"
"POLYGON ((4.746973194026445 52.32924306306314, 4.749924464438988 52.32924306306314, 4.749924464438988 52.33104486486494, 4.746973194026445 52.33104486486494, 4.746973194026445 52.32924306306314))"
"POLYGON ((4.749924464438988 52.32924306306314, 4.75287573485153 52.32924306306314, 4.75287573485153 52.33104486486494, 4.749924464438988 52.33104486486494, 4.749924464438988 52.32924306306314))"
"POLYGON ((4.75287573485153 52.32924306306314, 4.755827005264073 52.32924306306314, 4.755827005264073 52.33104486486494, 4.75287573485153 52.33104486486494, 4.75287573485153 52.32924306306314))"
"POLYGON ((4.755827005264073 52.32924306306314, 4.758778275676615 52.32924306306314, 4.758778275676615 52.33104486486494, 4.755827005264073 52.33104486486494, 4.755827005264073 52.32924306306314))"
"POLYGON ((4.758778275676615 52.32924306306314, 4.761729546089158 52.32924306306314, 4.761729546089158 52.33104486486494, 4.758778275676615 52.33104486486494, 4.758778275676615 52.32924306306314))"
"POLYGON ((4.761729546089158 52.32924306306314, 4.7646808165017 52.32924306306314, 4.7646808165017 52.33104486486494, 4.761729546089158 52.33104486486494, 4.761729546089158 52.32924306306314))"
"POLYGON ((4.7646808165017 52.32924306306314, 4.767632086914243 52.32924306306314, 4.767632086914243 52.33104486486494, 4.7646808165017 52.33104486486494, 4.7646808165017 52.32924306306314))"
"POLYGON ((4.767632086914243 52.32924306306314, 4.770583357326785 52.32924306306314, 4.770583357326785 52.33104486486494, 4.767632086914243 52.33104486486494, 4.767632086914243 52.32924306306314))"
"POLYGON ((4.770583357326785 52.32924306306314, 4.773534627739328 52.32924306306314, 4.773534627739328 52.33104486486494, 4.770583357326785 52.33104486486494, 4.770583357326785 52.32924306306314))"
"POLYGON ((4.773534627739328 52.32924306306314, 4.77648589815187 52.32924306306314, 4.77648589815187 52.33104486486494, 4.773534627739328 52.33104486486494, 4.773534627739328 52.32924306306314))"
"POLYGON ((4.77648589815187 52.32924306306314, 4.779437168564413 52.32924306306314, 4.779437168564413 52.33104486486494, 4.77648589815187 52.33104486486494, 4.77648589815187 52.32924306306314))"
"POLYGON ((4.779437168564413 52.32924306306314, 4.782388438976955 52.32924306306314, 4.782388438976955 52.33104486486494, 4.779437168564413 52.33104486486494, 4.779437168564413 52.32924306306314))"
"POLYGON ((4.782388438976955 52.32924306306314, 4.785339709389498 52.32924306306314, 4.785339709389498 52.33104486486494, 4.782388438976955 52.33104486486494, 4.782388438976955 52.32924306306314))"
"POLYGON ((4.785339709389498 52.32924306306314, 4.78829097980204 52.32924306306314, 4.78829097980204 52.33104486486494, 4.785339709389498 52.33104486486494, 4.785339709389498 52.32924306306314))"
"POLYGON ((4.78829097980204 52.32924306306314, 4.791242250214583 52.32924306306314, 4.791242250214583 52.33104486486494, 4.78829097980204 52.33104486486494, 4.78829097980204 52.32924306306314))"
"POLYGON ((4.791242250214583 52.32924306306314, 4.794193520627125 52.32924306306314, 4.794193520627125 52.33104486486494, 4.791242250214583 52.33104486486494, 4.791242250214583 52.32924306306314))"
"POLYGON ((4.794193520627125 52.32924306306314, 4.797144791039668 52.32924306306314, 4.797144791039668 52.33104486486494, 4.794193520627125 52.33104486486494, 4.794193520627125 52.32924306306314))"
"POLYGON ((4.797144791039668 52.32924306306314, 4.80009606145221 52.32924306306314, 4.80009606145221 52.33104486486494, 4.797144791039668 52.33104486486494, 4.797144791039668 52.32924306306314))"
"POLYGON ((4.80009606145221 52.32924306306314, 4.803047331864753 52.32924306306314, 4.803047331864753 52.33104486486494, 4.80009606145221 52.33104486486494, 4.80009606145221 52.32924306306314))"
"POLYGON ((4.803047331864753 52.32924306306314, 4.805998602277295 52.32924306306314, 4.805998602277295 52.33104486486494, 4.803047331864753 52.33104486486494, 4.803047331864753 52.32924306306314))"
"POLYGON ((4.805998602277295 52.32924306306314, 4.808949872689838 52.32924306306314, 4.808949872689838 52.33104486486494, 4.805998602277295 52.33104486486494, 4.805998602277295 52.32924306306314))"
"POLYGON ((4.808949872689838 52.32924306306314, 4.81190114310238 52.32924306306314, 4.81190114310238 52.33104486486494, 4.808949872689838 52.33104486486494, 4.808949872689838 52.32924306306314))"
"POLYGON ((4.81190114310238 52.32924306306314, 4.814852413514923 52.32924306306314, 4.814852413514923 52.33104486486494, 4.81190114310238 52.33104486486494, 4.81190114310238 52.32924306306314))"
"POLYGON ((4.814852413514923 52.32924306306314, 4.817803683927465 52.32924306306314, 4.817803683927465 52.33104486486494, 4.814852413514923 52.33104486486494, 4.814852413514923 52.32924306306314))"
"POLYGON ((4.817803683927465 52.32924306306314, 4.820754954340008 52.32924306306314, 4.820754954340008 52.33104486486494, 4.817803683927465 52.33104486486494, 4.817803683927465 52.32924306306314))"
"POLYGON ((4.820754954340008 52.32924306306314, 4.82370622475255 52.32924306306314, 4.82370622475255 52.33104486486494, 4.820754954340008 52.33104486486494, 4.820754954340008 52.32924306306314))"
"POLYGON ((4.82370622475255 52.32924306306314, 4.826657495165093 52.32924306306314, 4.826657495165093 52.33104486486494, 4.82370622475255 52.33104486486494, 4.82370622475255 52.32924306306314))"
"POLYGON ((4.826657495165093 52.32924306306314, 4.829608765577635 52.32924306306314, 4.829608765577635 52.33104486486494, 4.826657495165093 52.33104486486494, 4.826657495165093 52.32924306306314))"
"POLYGON ((4.829608765577635 52.32924306306314, 4.832560035990178 52.32924306306314, 4.832560035990178 52.33104486486494, 4.829608765577635 52.33104486486494, 4.829608765577635 52.32924306306314))"
"POLYGON ((4.832560035990178 52.32924306306314, 4.83551130640272 52.32924306306314, 4.83551130640272 52.33104486486494, 4.832560035990178 52.33104486486494, 4.832560035990178 52.32924306306314))"
"POLYGON ((4.83551130640272 52.32924306306314, 4.838462576815263 52.32924306306314, 4.838462576815263 52.33104486486494, 4.83551130640272 52.33104486486494, 4.83551130640272 52.32924306306314))"
"POLYGON ((4.838462576815263 52.32924306306314, 4.841413847227805 52.32924306306314, 4.841413847227805 52.33104486486494, 4.838462576815263 52.33104486486494, 4.838462576815263 52.32924306306314))"
"POLYGON ((4.841413847227805 52.32924306306314, 4.844365117640348 52.32924306306314, 4.844365117640348 52.33104486486494, 4.841413847227805 52.33104486486494, 4.841413847227805 52.32924306306314))"
"POLYGON ((4.844365117640348 52.32924306306314, 4.8473163880528904 52.32924306306314, 4.8473163880528904 52.33104486486494, 4.844365117640348 52.33104486486494, 4.844365117640348 52.32924306306314))"
"POLYGON ((4.8473163880528904 52.32924306306314, 4.850267658465433 52.32924306306314, 4.850267658465433 52.33104486486494, 4.8473163880528904 52.33104486486494, 4.8473163880528904 52.32924306306314))"
"POLYGON ((4.850267658465433 52.32924306306314, 4.8532189288779755 52.32924306306314, 4.8532189288779755 52.33104486486494, 4.850267658465433 52.33104486486494, 4.850267658465433 52.32924306306314))"
"POLYGON ((4.8532189288779755 52.32924306306314, 4.856170199290518 52.32924306306314, 4.856170199290518 52.33104486486494, 4.8532189288779755 52.33104486486494, 4.8532189288779755 52.32924306306314))"
"POLYGON ((4.856170199290518 52.32924306306314, 4.8591214697030605 52.32924306306314, 4.8591214697030605 52.33104486486494, 4.856170199290518 52.33104486486494, 4.856170199290518 52.32924306306314))"
"POLYGON ((4.8591214697030605 52.32924306306314, 4.862072740115603 52.32924306306314, 4.862072740115603 52.33104486486494, 4.8591214697030605 52.33104486486494, 4.8591214697030605 52.32924306306314))"
"POLYGON ((4.862072740115603 52.32924306306314, 4.8650240105281455 52.32924306306314, 4.8650240105281455 52.33104486486494, 4.862072740115603 52.33104486486494, 4.862072740115603 52.32924306306314))"
"POLYGON ((4.8650240105281455 52.32924306306314, 4.867975280940688 52.32924306306314, 4.867975280940688 52.33104486486494, 4.8650240105281455 52.33104486486494, 4.8650240105281455 52.32924306306314))"
"POLYGON ((4.867975280940688 52.32924306306314, 4.8709265513532305 52.32924306306314, 4.8709265513532305 52.33104486486494, 4.867975280940688 52.33104486486494, 4.867975280940688 52.32924306306314))"
"POLYGON ((4.8709265513532305 52.32924306306314, 4.873877821765773 52.32924306306314, 4.873877821765773 52.33104486486494, 4.8709265513532305 52.33104486486494, 4.8709265513532305 52.32924306306314))"
"POLYGON ((4.873877821765773 52.32924306306314, 4.8768290921783155 52.32924306306314, 4.8768290921783155 52.33104486486494, 4.873877821765773 52.33104486486494, 4.873877821765773 52.32924306306314))"
"POLYGON ((4.8768290921783155 52.32924306306314, 4.879780362590858 52.32924306306314, 4.879780362590858 52.33104486486494, 4.8768290921783155 52.33104486486494, 4.8768290921783155 52.32924306306314))"
"POLYGON ((4.879780362590858 52.32924306306314, 4.8827316330034005 52.32924306306314, 4.8827316330034005 52.33104486486494, 4.879780362590858 52.33104486486494, 4.879780362590858 52.32924306306314))"
"POLYGON ((4.8827316330034005 52.32924306306314, 4.885682903415943 52.32924306306314, 4.885682903415943 52.33104486486494, 4.8827316330034005 52.33104486486494, 4.8827316330034005 52.32924306306314))"
"POLYGON ((4.885682903415943 52.32924306306314, 4.8886341738284855 52.32924306306314, 4.8886341738284855 52.33104486486494, 4.885682903415943 52.33104486486494, 4.885682903415943 52.32924306306314))"
"POLYGON ((4.8886341738284855 52.32924306306314, 4.891585444241028 52.32924306306314, 4.891585444241028 52.33104486486494, 4.8886341738284855 52.33104486486494, 4.8886341738284855 52.32924306306314))"
"POLYGON ((4.891585444241028 52.32924306306314, 4.8945367146535705 52.32924306306314, 4.8945367146535705 52.33104486486494, 4.891585444241028 52.33104486486494, 4.891585444241028 52.32924306306314))"
"POLYGON ((4.8945367146535705 52.32924306306314, 4.897487985066113 52.32924306306314, 4.897487985066113 52.33104486486494, 4.8945367146535705 52.33104486486494, 4.8945367146535705 52.32924306306314))"
"POLYGON ((4.897487985066113 52.32924306306314, 4.9004392554786556 52.32924306306314, 4.9004392554786556 52.33104486486494, 4.897487985066113 52.33104486486494, 4.897487985066113 52.32924306306314))"
"POLYGON ((4.9004392554786556 52.32924306306314, 4.903390525891198 52.32924306306314, 4.903390525891198 52.33104486486494, 4.9004392554786556 52.33104486486494, 4.9004392554786556 52.32924306306314))"
"POLYGON ((4.903390525891198 52.32924306306314, 4.906341796303741 52.32924306306314, 4.906341796303741 52.33104486486494, 4.903390525891198 52.33104486486494, 4.903390525891198 52.32924306306314))"
"POLYGON ((4.906341796303741 52.32924306306314, 4.909293066716283 52.32924306306314, 4.909293066716283 52.33104486486494, 4.906341796303741 52.33104486486494, 4.906341796303741 52.32924306306314))"
"POLYGON ((4.909293066716283 52.32924306306314, 4.912244337128826 52.32924306306314, 4.912244337128826 52.33104486486494, 4.909293066716283 52.33104486486494, 4.909293066716283 52.32924306306314))"
"POLYGON ((4.912244337128826 52.32924306306314, 4.915195607541368 52.32924306306314, 4.915195607541368 52.33104486486494, 4.912244337128826 52.33104486486494, 4.912244337128826 52.32924306306314))"
"POLYGON ((4.915195607541368 52.32924306306314, 4.918146877953911 52.32924306306314, 4.918146877953911 52.33104486486494, 4.915195607541368 52.33104486486494, 4.915195607541368 52.32924306306314))"
"POLYGON ((4.918146877953911 52.32924306306314, 4.921098148366453 52.32924306306314, 4.921098148366453 52.33104486486494, 4.918146877953911 52.33104486486494, 4.918146877953911 52.32924306306314))"
"POLYGON ((4.921098148366453 52.32924306306314, 4.924049418778996 52.32924306306314, 4.924049418778996 52.33104486486494, 4.921098148366453 52.33104486486494, 4.921098148366453 52.32924306306314))"
"POLYGON ((4.924049418778996 52.32924306306314, 4.927000689191538 52.32924306306314, 4.927000689191538 52.33104486486494, 4.924049418778996 52.33104486486494, 4.924049418778996 52.32924306306314))"
"POLYGON ((4.927000689191538 52.32924306306314, 4.929951959604081 52.32924306306314, 4.929951959604081 52.33104486486494, 4.927000689191538 52.33104486486494, 4.927000689191538 52.32924306306314))"
"POLYGON ((4.929951959604081 52.32924306306314, 4.932903230016623 52.32924306306314, 4.932903230016623 52.33104486486494, 4.929951959604081 52.33104486486494, 4.929951959604081 52.32924306306314))"
"POLYGON ((4.932903230016623 52.32924306306314, 4.935854500429166 52.32924306306314, 4.935854500429166 52.33104486486494, 4.932903230016623 52.33104486486494, 4.932903230016623 52.32924306306314))"
"POLYGON ((4.935854500429166 52.32924306306314, 4.938805770841708 52.32924306306314, 4.938805770841708 52.33104486486494, 4.935854500429166 52.33104486486494, 4.935854500429166 52.32924306306314))"
"POLYGON ((4.938805770841708 52.32924306306314, 4.941757041254251 52.32924306306314, 4.941757041254251 52.33104486486494, 4.938805770841708 52.33104486486494, 4.938805770841708 52.32924306306314))"
"POLYGON ((4.941757041254251 52.32924306306314, 4.944708311666793 52.32924306306314, 4.944708311666793 52.33104486486494, 4.941757041254251 52.33104486486494, 4.941757041254251 52.32924306306314))"
"POLYGON ((4.944708311666793 52.32924306306314, 4.947659582079336 52.32924306306314, 4.947659582079336 52.33104486486494, 4.944708311666793 52.33104486486494, 4.944708311666793 52.32924306306314))"
"POLYGON ((4.947659582079336 52.32924306306314, 4.950610852491878 52.32924306306314, 4.950610852491878 52.33104486486494, 4.947659582079336 52.33104486486494, 4.947659582079336 52.32924306306314))"
"POLYGON ((4.950610852491878 52.32924306306314, 4.953562122904421 52.32924306306314, 4.953562122904421 52.33104486486494, 4.950610852491878 52.33104486486494, 4.950610852491878 52.32924306306314))"
"POLYGON ((4.953562122904421 52.32924306306314, 4.956513393316963 52.32924306306314, 4.956513393316963 52.33104486486494, 4.953562122904421 52.33104486486494, 4.953562122904421 52.32924306306314))"
"POLYGON ((4.956513393316963 52.32924306306314, 4.959464663729506 52.32924306306314, 4.959464663729506 52.33104486486494, 4.956513393316963 52.33104486486494, 4.956513393316963 52.32924306306314))"
"POLYGON ((4.959464663729506 52.32924306306314, 4.962415934142048 52.32924306306314, 4.962415934142048 52.33104486486494, 4.959464663729506 52.33104486486494, 4.959464663729506 52.32924306306314))"
"POLYGON ((4.962415934142048 52.32924306306314, 4.965367204554591 52.32924306306314, 4.965367204554591 52.33104486486494, 4.962415934142048 52.33104486486494, 4.962415934142048 52.32924306306314))"
"POLYGON ((4.965367204554591 52.32924306306314, 4.968318474967133 52.32924306306314, 4.968318474967133 52.33104486486494, 4.965367204554591 52.33104486486494, 4.965367204554591 52.32924306306314))"
"POLYGON ((4.968318474967133 52.32924306306314, 4.971269745379676 52.32924306306314, 4.971269745379676 52.33104486486494, 4.968318474967133 52.33104486486494, 4.968318474967133 52.32924306306314))"
"POLYGON ((4.971269745379676 52.32924306306314, 4.974221015792218 52.32924306306314, 4.974221015792218 52.33104486486494, 4.971269745379676 52.33104486486494, 4.971269745379676 52.32924306306314))"
"POLYGON ((4.974221015792218 52.32924306306314, 4.977172286204761 52.32924306306314, 4.977172286204761 52.33104486486494, 4.974221015792218 52.33104486486494, 4.974221015792218 52.32924306306314))"
"POLYGON ((4.977172286204761 52.32924306306314, 4.980123556617303 52.32924306306314, 4.980123556617303 52.33104486486494, 4.977172286204761 52.33104486486494, 4.977172286204761 52.32924306306314))"
"POLYGON ((4.980123556617303 52.32924306306314, 4.983074827029846 52.32924306306314, 4.983074827029846 52.33104486486494, 4.980123556617303 52.33104486486494, 4.980123556617303 52.32924306306314))"
"POLYGON ((4.983074827029846 52.32924306306314, 4.986026097442388 52.32924306306314, 4.986026097442388 52.33104486486494, 4.983074827029846 52.33104486486494, 4.983074827029846 52.32924306306314))"
"POLYGON ((4.986026097442388 52.32924306306314, 4.988977367854931 52.32924306306314, 4.988977367854931 52.33104486486494, 4.986026097442388 52.33104486486494, 4.986026097442388 52.32924306306314))"
"POLYGON ((4.988977367854931 52.32924306306314, 4.991928638267473 52.32924306306314, 4.991928638267473 52.33104486486494, 4.988977367854931 52.33104486486494, 4.988977367854931 52.32924306306314))"
"POLYGON ((4.991928638267473 52.32924306306314, 4.994879908680016 52.32924306306314, 4.994879908680016 52.33104486486494, 4.991928638267473 52.33104486486494, 4.991928638267473 52.32924306306314))"
"POLYGON ((4.994879908680016 52.32924306306314, 4.997831179092558 52.32924306306314, 4.997831179092558 52.33104486486494, 4.994879908680016 52.33104486486494, 4.994879908680016 52.32924306306314))"
"POLYGON ((4.997831179092558 52.32924306306314, 5.000782449505101 52.32924306306314, 5.000782449505101 52.33104486486494, 4.997831179092558 52.33104486486494, 4.997831179092558 52.32924306306314))"
"POLYGON ((5.000782449505101 52.32924306306314, 5.003733719917643 52.32924306306314, 5.003733719917643 52.33104486486494, 5.000782449505101 52.33104486486494, 5.000782449505101 52.32924306306314))"
"POLYGON ((5.003733719917643 52.32924306306314, 5.006684990330186 52.32924306306314, 5.006684990330186 52.33104486486494, 5.003733719917643 52.33104486486494, 5.003733719917643 52.32924306306314))"
"POLYGON ((5.006684990330186 52.32924306306314, 5.009636260742728 52.32924306306314, 5.009636260742728 52.33104486486494, 5.006684990330186 52.33104486486494, 5.006684990330186 52.32924306306314))"
"POLYGON ((5.009636260742728 52.32924306306314, 5.012587531155271 52.32924306306314, 5.012587531155271 52.33104486486494, 5.009636260742728 52.33104486486494, 5.009636260742728 52.32924306306314))"
"POLYGON ((5.012587531155271 52.32924306306314, 5.015538801567813 52.32924306306314, 5.015538801567813 52.33104486486494, 5.012587531155271 52.33104486486494, 5.012587531155271 52.32924306306314))"
"POLYGON ((5.015538801567813 52.32924306306314, 5.018490071980356 52.32924306306314, 5.018490071980356 52.33104486486494, 5.015538801567813 52.33104486486494, 5.015538801567813 52.32924306306314))"
"POLYGON ((5.018490071980356 52.32924306306314, 5.021441342392898 52.32924306306314, 5.021441342392898 52.33104486486494, 5.018490071980356 52.33104486486494, 5.018490071980356 52.32924306306314))"
"POLYGON ((5.021441342392898 52.32924306306314, 5.024392612805441 52.32924306306314, 5.024392612805441 52.33104486486494, 5.021441342392898 52.33104486486494, 5.021441342392898 52.32924306306314))"
"POLYGON ((5.024392612805441 52.32924306306314, 5.027343883217983 52.32924306306314, 5.027343883217983 52.33104486486494, 5.024392612805441 52.33104486486494, 5.024392612805441 52.32924306306314))"
"POLYGON ((5.027343883217983 52.32924306306314, 5.030295153630526 52.32924306306314, 5.030295153630526 52.33104486486494, 5.027343883217983 52.33104486486494, 5.027343883217983 52.32924306306314))"
"POLYGON ((5.030295153630526 52.32924306306314, 5.033246424043068 52.32924306306314, 5.033246424043068 52.33104486486494, 5.030295153630526 52.33104486486494, 5.030295153630526 52.32924306306314))"
"POLYGON ((5.033246424043068 52.32924306306314, 5.036197694455611 52.32924306306314, 5.036197694455611 52.33104486486494, 5.033246424043068 52.33104486486494, 5.033246424043068 52.32924306306314))"
"POLYGON ((5.036197694455611 52.32924306306314, 5.039148964868153 52.32924306306314, 5.039148964868153 52.33104486486494, 5.036197694455611 52.33104486486494, 5.036197694455611 52.32924306306314))"
"POLYGON ((5.039148964868153 52.32924306306314, 5.042100235280696 52.32924306306314, 5.042100235280696 52.33104486486494, 5.039148964868153 52.33104486486494, 5.039148964868153 52.32924306306314))"
"POLYGON ((5.042100235280696 52.32924306306314, 5.045051505693238 52.32924306306314, 5.045051505693238 52.33104486486494, 5.042100235280696 52.33104486486494, 5.042100235280696 52.32924306306314))"
